fiscal_year,location_name,location_type_description,Location_Category_Description,Grades_text,Grades_final_text,primary_address_line_1,X_COORDINATE,Y_COORDINATE,LONGITUDE,LATITUDE,id
"2,020",P.S. 031 Samuel F. Dupont,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",75 MESEROLE AVENUE,996961,204135,-73.954139,40.72697,301
"2,020",P.S. 032 Samuel Mills Sprole,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",317 HOYT STREET,986707,187077,-73.991141,40.680159,306
"2,020",JHS 033 Mark Hopkins,General Academic,Junior High-Intermediate-Middle,8,"06,07,08",70 TOMPKINS AVENUE,999050,193242,-73.9466,40.6971,303
"2,020",P.S. 034 Oliver H. Perry,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",131 NORMAN AVENUE,998176,203920,-73.949756,40.726378,301
"2,020",M.S. 035 Stephen Decatur,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",272 MACDONOUGH STREET,1002031,187582,-73.935891,40.681528,303
"2,020",P.S. 36,Special Education,K-12 all grades,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","01,02,03,04,05,06,07,08,09,10,11,12,SE",2045 LINDEN BOULEVARD,1015547,179922,-73.887195,40.660465,305
"2,020",Beginning with Children Charter School II,General Academic,K-8,"0K,01,02,03,04,05,06,07,08","0K,01,02,03,04,05,06,07,08",215 HEYWARD STREET,997197,195765,-73.953304,40.703996,301
"2,020",P.S. 038 The Pacific,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",450 PACIFIC STREET,989013,188821,-73.982826,40.684945,302
"2,020",P.S. 039 Henry Bristow,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",417 6 AVENUE,988991,182882,-73.982909,40.668644,306
"2,020",P.S. 040 George W. Carver,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",265 RALPH AVENUE,1006134,187116,-73.921099,40.680239,303
"2,020",P.S. 041 Francis White,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",411 THATFORD AVENUE,1010073,179912,-73.906925,40.660455,316
"2,020",P.S. 041 Francis White,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",411 THATFORD AVENUE,1010073,179912,-73.906925,40.660455,316
"2,020",P.S. 044 Marcus Garvey,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",432 MONROE STREET,1000652,189288,-73.940859,40.686213,303
"2,020",P.S./I.S. 045 Horace E. Greene,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08,SE",84 SCHAEFER STREET,1009091,189372,-73.91043,40.686424,304
"2,020",P.S. 046 Edward C. Blum,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",100 CLERMONT AVENUE,992113,192314,-73.971644,40.69453,302
"2,020",P.S. 048 Mapleton,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,SE",6015 18 AVENUE,987813,165699,-73.987165,40.621481,312
"2,020",J.H.S. 049 William J. Gaynor,General Academic,Junior High-Intermediate-Middle,"08,SE","06,07,08",223 GRAHAM AVENUE,999873,197948,-73.9436,40.71,301
"2,020",J.H.S. 050 John D. Wells,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",183 SOUTH  3 STREET,995301,198649,-73.960137,40.711915,301
"2,020",M.S. 51 William Alexander,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",350 5 AVENUE,988397,184235,-73.98505,40.672358,306
"2,020",P.S. 052 Sheepshead Bay,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",2675 EAST  29 STREET,1000877,153642,-73.940135,40.588372,315
"2,020",P.S. K053,Special Education,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","09,10,11,12,SE",544 7TH AVENUE,987373,180026,-73.988743,40.660805,307
"2,020",P.S. 054 Samuel C. Barnes,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",195 SANDFORD STREET,997421,191619,-73.952504,40.692616,303
"2,020",I.S. 055 Ocean Hill Brownsville,General Academic,Junior High-Intermediate-Middle,NULL,"06,07,08,09",2021 BERGEN STREET,1008307,184882,-73.9133,40.6741,316
"2,020",P.S. 056 Lewis H. Latimer,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",170 GATES AVENUE,995195,188583,-73.960536,40.684286,302
"2,020",Whitelaw Reid Academy of Arts and Business,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",125 STUYVESANT AVENUE,1003037,191204,-73.932254,40.691467,303
"2,020",P.S. 058 The Carroll,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",330 SMITH STREET,985502,187157,-73.995486,40.680379,306
"2,020",P.S. 059 William Floyd,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",211 THROOP AVENUE,999978,193443,-73.943279,40.697619,303
"2,020",M.S. 061 Dr. Gladstone H. Atwell,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",400 EMPIRE BOULEVARD,998344,181050,-73.949198,40.663605,309
"2,020",J.H.S. 062 Ditmas,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",700 CORTELYOU ROAD,992256,171750,-73.971153,40.638087,312
"2,020",P.S. 065,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",696 JAMAICA AVENUE,1017987,189423,-73.878353,40.686534,305
"2,020",P.S. 66,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",845 EAST  96 STREET,1010039,175647,-73.907064,40.648749,318
"2,020",P.S. 067 Charles A. Dorsey,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",51 SAINT EDWARDS STREET,990441,192608,-73.977674,40.695339,302
"2,020",I.S. 068 Isaac Bildersee,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",956 EAST  82 STREET,1008892,170778,-73.911215,40.635388,318
"2,020",P.S. 69 Vincent D. Grippo School,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",6302 9TH AVENUE,981543,169674,-74.009752,40.632392,310
"2,020",P.S. 69 Vincent D. Grippo School,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",6302 9TH AVENUE,981543,169674,-74.009752,40.632392,310
"2,020",Juan Morel Campos Secondary School,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",215 HEYWARD STREET,997197,195765,-73.953304,40.703996,301
"2,020",P.S./I.S. 072 Annette P Goldman,General Academic,K-8,"05,07,08,SE","PK,0K,01,02,03,04,05",605 SHEPHERD AVENUE,1017780,183165,-73.879131,40.669358,305
"2,020",P.S. 073 Thomas S. Boyland,General Academic,K-8,5,"PK,0K,01,02,03,04,05,06,07,08",251 MCDOUGAL STREET,1009013,187279,-73.910719,40.680679,316
"2,020",P.S. 075 Mayda Cortiella,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",95 GROVE STREET,1006064,191860,-73.921336,40.693261,304
"2,020",P.S. K077,Special Education,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","0K,01,02,03,04,05,06,07,08,09,10,11,12",62 PARK PLACE,990727,186586,-73.976648,40.678809,306
"2,020",J.H.S. 078 Roy H. Mann,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1420 EAST  68 STREET,1008426,165367,-73.912914,40.620537,318
